Date: 	2025-07-01-
Time: 	1105-26

Picoscope code: 	1111111000000000000000000000000000000000

Max potential (current channel) [V]: 	20
Max stack potential [V]: 	20
Max cell potential [V]: 	20

Cell numbers: 	1,2,3,4,5,6,7,8,9,10
Area [cm2]: 	195
Temperature [degC]: 	50
Pressure [bar]: 	0
DC current [A]: 	1
AC current [in pct of DC current]: 	0.4
Shunt: 	200mA/200mV

Run without potentiostat [Y/N]: 	N
Frequencies selected: 	[10000.0, 5000.0, 2000.0, 1000.0, 500.0, 200.0, 100.0, 50.0, 20.0, 10.0, 5.0, 2.0, 1.0]

Time	Current (as voltage)	Voltage1	Voltage2	Voltage3	Current (as voltage)	Voltage5	Voltage6
s	mV	mV	mV	mV	mV	mV	mV

0.0	0.018380077735633635	-0.05027944986612367	0.079476322523801	0.14005372728910492	-0.08536028557780517	-0.06277420514156755	-0.045921646809490554
8e-06	-0.2678917106384272	0.0643322674218772	0.12198171761680188	0.519873110276041	-0.5447095364117965	-0.7857614846749621	-0.29303977576391593
1.6e-05	-2.1164055522094882	0.9458670532913854	-0.9810890217359091	0.5907305590877656	-1.778791550337872	-3.046678384752071	-1.045925910423493
2.4e-05	-5.58448177835507	2.186735873799152	-3.7488865257979556	-0.10469934538157707	-3.8700540797434626	-5.1693679687092455	-2.5608267212955513
3.2e-05	-6.652955328389589	2.431429938107085	-5.165741160810598	-0.3297609863408937	-5.683061871185345	-2.377833532859756	-4.054036284869229
3.9999999999999996e-05	-1.8410827939050938	1.379420112175896	-1.4600306281907076	2.2612050602324536	-5.248012803173155	6.210730062590402	-3.541240845408035
4.8e-05	6.216905700758967	-1.1812012156893015	6.20960516851909	7.708606779450002	-2.812365317653048	13.23872282112522	-0.10249631882054155
5.6e-05	13.221641066215357	-5.317065054718332	11.784335621503066	11.42868900759895	-1.3965837558493157	11.507770870686448	4.317456781814391
6.4e-05	16.995246199123393	-7.534455689024551	10.062486511265961	8.591344651451335	-2.0744115231665816	3.438252722310203	5.851250890178878
7.2e-05	14.26351952803376	-3.086365948985184	1.9564829025221597	0.5151816769824118	-1.2722587292164065	-2.131926233173159	2.5884114527939075
7.999999999999999e-05	2.4122102174474978	6.917068994429305	-7.063346876225004	-7.59678357929809	4.999435104038555	-0.4741876492800702	-1.8841889537300998
8.8e-05	-14.004480852129918	14.665404588462575	-12.4116599020893	-12.804477793245995	14.254106710708848	4.79189833973104	-2.8653803587158375
9.6e-05	-24.276791868673236	14.137149115892317	-12.669844432079922	-14.07300141160823	17.83810739130913	8.306306020554914	-2.400391156891658
0.000104	-21.090273038970302	7.686340848993496	-8.800470121527125	-10.875831208407352	11.512675476192141	9.315667728933944	-6.83764937341659
0.000112	-7.778678229102676	1.2449900088371482	-2.9762118609346633	-5.0031700822922245	1.1072942632327938	8.035496602387918	-15.944255653510131
0.00011999999999999999	4.921214319360741	-2.3128444540041535	2.0137495377807557	1.004892546393452	-5.855401849000172	1.8708975132976442	-19.68821072511757
0.000128	8.359444414454096	-3.431533445491762	3.402952096817991	5.480586677629417	-7.76955243990395	-9.349768547048853	-10.389379294281126
0.000136	2.3935262779682516	-3.508495741401453	0.5081723847764595	6.498886088041158	-6.274594680143344	-19.28339742994073	5.73446651347937
0.000144	-6.0433980331280885	-3.417095934467162	-2.7854182891686383	3.944603765750703	-2.4088195553747966	-20.60039542919998	16.24441069418557
0.00015199999999999998	-10.169550640741138	-3.9797976641400075	-0.7221958140386411	-0.48948559131154545	2.347533559189701	-12.815495589251073	16.60248810543986
0.00015999999999999999	-8.533346383482563	-5.540574258502289	6.379065893532386	-6.024956198687593	5.176770720568322	-2.942049993659156	10.972434560745965
0.000168	-4.49230937698641	-6.709106192799328	11.31718953698263	-10.491010466276988	4.073594058964605	1.4682987684365216	5.194297369197563
0.000176	-2.1420743085877105	-5.599653968036929	8.84602079250279	-9.783060690318377	-0.16648401702635146	-0.960206355544648	3.0471582026201576
0.000184	-2.0624244216365017	-2.307769527696331	0.23786034356108227	-2.644822961134681	-3.69791552651866	-6.245720855722563	5.7797082757265725
0.000192	-1.4368401415945147	-0.37687292562434127	-9.449627206755883	7.168015466612598	-2.451791431483609	-10.953258357937864	11.118166584502601
0.00019999999999999998	2.2374546201366465	-3.97167859550697	-15.026207166817402	13.518742931083247	3.066871742539257	-14.285308799514313	14.29699452818075
0.000208	8.55730947288042	-12.313079280925113	-14.536617377772957	11.811367654099927	7.472148308651634	-15.508612710295528	13.428130439429697
0.000216	13.638584440954286	-19.19217745872005	-8.957063642222806	2.0119661317224975	5.985054955145807	-13.720359030738626	11.027916735240057
0.000224	12.759518526701639	-18.46116144310028	0.8759368532678389	-9.172188903170916	-0.8441860558130343	-8.732175569300287	8.502259120495914
0.000232	5.9239558345419905	-10.386242265195278	12.438428919885725	-12.252001931951094	-7.97731591935626	-0.6644913970803424	3.4803334341574286
0.00023999999999999998	-0.4313923355484255	-1.5290129978103726	20.22132339381541	-5.50160941381938	-9.961577709068758	7.74654376235895	-4.371987126906492
0.000248	1.2776701358259501	2.978743265998764	22.187860497298107	2.5376705225435323	-5.263898920040595	11.127341058775544	-9.044699550625792
0.000256	11.854385175523953	3.630222338295384	21.24905011683225	3.1920375813705077	1.9074289849867592	8.59547078050623	-5.535837752479571
0.00026399999999999997	22.158258375835768	2.238624233107869	17.754569113585685	-3.506577733543118	6.040301991771977	6.3657058142082	2.2406386954263886
0.000272	21.23945183901724	-1.092698883842836	9.589720323372065	-10.612289060393692	4.942401925877547	9.07072690844579	6.089027762428735
